Date,State,Confirmed,Recovered,Deceased
2020-05-03,Uttar Pradesh,2653,754,43
2020-05-03,Uttarakhand,60,39,1
2020-05-03,West Bengal,1227,202,133
2020-05-04,Andaman and Nicobar Islands,33,32,0
2020-05-04,Andhra Pradesh,1650,524,33
2020-05-04,Arunachal Pradesh,1,1,0
2020-05-04,Assam,43,41,1
2020-05-04,Bihar,547,127,4
2020-05-04,Chandigarh,102,21,1
2020-05-04,Chhattisgarh,65,36,0
2020-05-04,Delhi,5191,1439,64
2020-05-04,Goa,7,7,0
2020-05-04,Gujarat,5807,1195,319
2020-05-04,Haryana,518,247,6
2020-05-04,Himachal Pradesh,42,34,2
2020-05-04,Jammu and Kashmir,727,303,8
2020-05-04,Jharkhand,117,27,3
2020-05-04,Karnataka,652,321,27
2020-05-04,Kerala,500,462,4
2020-05-04,Ladakh,42,17,0
2020-05-04,Madhya Pradesh,2954,856,166
2020-05-04,Maharashtra,14542,2465,583
2020-05-04,Manipur,2,2,0
2020-05-04,Meghalaya,12,10,1
2020-05-04,Mizoram,1,0,0
2020-05-04,Odisha,177,60,1
2020-05-04,Puducherry,9,6,0
2020-05-04,Punjab,1243,128,23
2020-05-04,Rajasthan,3062,1438,77
2020-05-04,Tamil Nadu,3550,1409,31
2020-05-04,Telangana,1096,594,29
2020-05-04,Tripura,32,2,0
2020-05-04,Uttar Pradesh,2774,802,50
2020-05-04,Uttarakhand,60,39,1
2020-05-04,West Bengal,1288,221,133
2020-05-05,Andaman and Nicobar Islands,33,32,0
2020-05-05,Andhra Pradesh,1731,589,34
2020-05-05,Arunachal Pradesh,1,1,0
2020-05-05,Assam,45,41,1
2020-05-05,Bihar,554,158,4
2020-05-05,Chandigarh,119,21,1
2020-05-05,Chhattisgarh,66,36,0
2020-05-05,Dadra and Nagar Haveli and Daman and Diu,2,0,0
2020-05-05,Delhi,5397,1476,64
2020-05-05,Goa,7,7,0
2020-05-05,Gujarat,6250,1381,368
2020-05-05,Haryana,549,249,6
2020-05-05,Himachal Pradesh,43,34,3
2020-05-05,Jammu and Kashmir,742,320,8
2020-05-05,Jharkhand,129,33,3
2020-05-05,Karnataka,674,331,29
2020-05-05,Kerala,503,462,4
2020-05-05,Ladakh,42,17,0
2020-05-05,Madhya Pradesh,3060,1000,177
2020-05-05,Maharashtra,15526,2819,617
2020-05-05,Manipur,2,2,0
2020-05-05,Meghalaya,12,10,1
2020-05-05,Mizoram,1,1,0
2020-05-05,Odisha,185,60,2
2020-05-05,Puducherry,9,6,0
2020-05-05,Punjab,1462,133,25
2020-05-05,Rajasthan,3159,1525,89
2020-05-05,Tamil Nadu,4060,1485,33
2020-05-05,Telangana,1107,637,29
2020-05-05,Tripura,45,2,0
2020-05-05,Uttar Pradesh,2890,987,56
2020-05-05,Uttarakhand,61,39,1
2020-05-05,West Bengal,1373,267,140
2020-05-06,Andaman and Nicobar Islands,33,32,0
2020-05-06,Andhra Pradesh,1791,729,36
2020-05-06,Arunachal Pradesh,1,1,0
2020-05-06,Assam,46,43,1
2020-05-06,Bihar,561,158,4
2020-05-06,Chandigarh,124,21,1
2020-05-06,Chhattisgarh,66,36,0
2020-05-06,Dadra and Nagar Haveli and Daman and Diu,2,0,0
2020-05-06,Delhi,5825,1550,65
2020-05-06,Goa,7,7,0
2020-05-06,Gujarat,6630,1500,396
2020-05-06,Haryana,595,253,7
2020-05-06,Himachal Pradesh,44,34,3
2020-05-06,Jammu and Kashmir,776,322,8
2020-05-06,Jharkhand,131,37,3
2020-05-06,Karnataka,694,354,29
2020-05-06,Kerala,503,469,4
2020-05-06,Ladakh,42,17,0
2020-05-06,Madhya Pradesh,3153,1099,186
2020-05-06,Maharashtra,16759,3094,651
2020-05-06,Manipur,2,2,0
2020-05-06,Meghalaya,12,10,1
2020-05-06,Mizoram,1,1,0
2020-05-06,Odisha,220,61,2
2020-05-06,Puducherry,9,6,0
2020-05-06,Punjab,1537,135,27
2020-05-06,Rajasthan,3290,1678,93
2020-05-06,Tamil Nadu,4831,1516,35
2020-05-06,Telangana,1118,657,29
2020-05-06,Tripura,67,2,0
2020-05-06,Uttar Pradesh,3011,1130,60
2020-05-06,Uttarakhand,61,39,1
2020-05-06,West Bengal,1485,268,144
2020-05-07,Andaman and Nicobar Islands,33,33,0
2020-05-07,Andhra Pradesh,1850,780,38
2020-05-07,Arunachal Pradesh,1,1,0
2020-05-07,Assam,54,43,1
2020-05-07,Bihar,570,218,5
2020-05-07,Chandigarh,135,21,1
2020-05-07,Chhattisgarh,66,36,0
2020-05-07,Dadra and Nagar Haveli and Daman and Diu,2,0,0
2020-05-07,Delhi,6273,1939,66
2020-05-07,Goa,7,7,0
2020-05-07,Gujarat,7019,1709,425
2020-05-07,Haryana,628,253,7
2020-05-07,Himachal Pradesh,48,34,3
2020-05-07,Jammu and Kashmir,794,335,9
2020-05-07,Jharkhand,136,41,3
2020-05-07,Karnataka,706,366,30
2020-05-07,Kerala,503,474,4
2020-05-07,Ladakh,42,17,0
2020-05-07,Madhya Pradesh,3268,1231,194
2020-05-07,Maharashtra,17975,3301,694
2020-05-07,Manipur,2,2,0
2020-05-07,Meghalaya,12,10,1
2020-05-07,Mizoram,1,1,0
2020-05-07,Odisha,234,62,2
2020-05-07,Puducherry,9,6,0
2020-05-07,Punjab,1655,149,28
2020-05-07,Rajasthan,3401,1828,99
2020-05-07,Tamil Nadu,5411,1547,37
2020-05-07,Telangana,1133,702,29
2020-05-07,Tripura,91,2,0
2020-05-07,Uttar Pradesh,3084,1250,62
2020-05-07,Uttarakhand,61,39,1
2020-05-07,West Bengal,1577,299,151
2020-05-08,Andaman and Nicobar Islands,33,33,0
2020-05-08,Andhra Pradesh,1904,842,41
2020-05-08,Arunachal Pradesh,1,1,0
2020-05-08,Assam,60,43,2
2020-05-08,Bihar,606,267,5
2020-05-08,Chandigarh,146,21,2
2020-05-08,Chhattisgarh,66,38,0
2020-05-08,Dadra and Nagar Haveli and Daman and Diu,2,0,0
2020-05-08,Delhi,6611,2028,68
2020-05-08,Goa,7,7,0
2020-05-08,Gujarat,7409,1872,449
2020-05-08,Haryana,650,272,8
2020-05-08,Himachal Pradesh,52,34,3
2020-05-08,Jammu and Kashmir,824,364,9
2020-05-08,Jharkhand,158,41,3
2020-05-08,Karnataka,754,376,30
2020-05-08,Kerala,504,484,4
2020-05-08,Ladakh,42,18,0
2020-05-08,Madhya Pradesh,3359,1349,201
2020-05-08,Maharashtra,19064,3470,731
2020-05-08,Manipur,2,2,0
2020-05-08,Meghalaya,12,10,1
2020-05-08,Mizoram,1,1,0
2020-05-08,Odisha,285,63,2
2020-05-08,Puducherry,10,8,0
2020-05-08,Punjab,1742,152,29
2020-05-08,Rajasthan,3553,1950,103
2020-05-08,Tamil Nadu,6011,1605,40
2020-05-08,Telangana,1143,736,29
2020-05-08,Tripura,121,2,0
2020-05-08,Uttar Pradesh,3229,1387,66
2020-05-08,Uttarakhand,63,45,1
2020-05-08,West Bengal,1707,326,160
2020-05-09,Andaman and Nicobar Islands,33,33,0
2020-05-09,Andhra Pradesh,1947,887,44
2020-05-09,Arunachal Pradesh,1,1,0
2020-05-09,Assam,62,43,2
2020-05-09,Bihar,641,318,5
2020-05-09,Chandigarh,169,24,2
2020-05-09,Chhattisgarh,66,43,0
2020-05-09,Dadra and Nagar Haveli and Daman and Diu,2,0,0
2020-05-09,Delhi,6835,2028,68
2020-05-09,Goa,7,7,0
2020-05-09,Gujarat,7803,2091,472
2020-05-09,Haryana,681,283,9
2020-05-09,Himachal Pradesh,54,35,3
2020-05-09,Jammu and Kashmir,837,368,9
2020-05-09,Jharkhand,160,78,3
2020-05-09,Karnataka,795,386,30
2020-05-09,Kerala,506,485,4
2020-05-09,Ladakh,42,18,0
2020-05-09,Madhya Pradesh,3477,1480,212
2020-05-09,Maharashtra,20229,3470,779
2020-05-09,Manipur,2,2,0
2020-05-09,Meghalaya,13,10,1
2020-05-09,Mizoram,1,1,0
2020-05-09,Odisha,381,68,3
2020-05-09,Puducherry,10,8,0
2020-05-09,Punjab,1773,157,31
2020-05-09,Rajasthan,3682,2101,106
2020-05-09,Tamil Nadu,6537,1824,44
2020-05-09,Telangana,1174,760,30
2020-05-09,Tripura,138,2,0
2020-05-09,Uttar Pradesh,3391,1499,74
2020-05-09,Uttarakhand,68,46,1
2020-05-09,West Bengal,1815,375,171
2020-05-10,Andaman and Nicobar Islands,33,33,0
2020-05-10,Andhra Pradesh,1997,925,45
2020-05-10,Arunachal Pradesh,1,1,0
2020-05-10,Assam,63,43,2
2020-05-10,Bihar,737,354,6
2020-05-10,Chandigarh,173,24,3
2020-05-10,Chhattisgarh,66,49,0
2020-05-10,Dadra and Nagar Haveli and Daman and Diu,2,0,0
2020-05-10,Delhi,7216,2077,73
2020-05-10,Goa,7,7,0
2020-05-10,Gujarat,8201,2545,493
2020-05-10,Haryana,709,293,10
2020-05-10,Himachal Pradesh,62,35,3
2020-05-10,Jammu and Kashmir,862,383,9
2020-05-10,Jharkhand,161,78,3
2020-05-10,Karnataka,857,422,31
2020-05-10,Kerala,513,489,4
2020-05-10,Ladakh,42,21,0
2020-05-10,Madhya Pradesh,3634,1676,216
2020-05-10,Maharashtra,22172,4199,832
2020-05-10,Manipur,2,2,0
2020-05-10,Meghalaya,13,10,1
2020-05-10,Mizoram,1,1,0
2020-05-10,Odisha,409,68,3
2020-05-10,Puducherry,13,9,0
2020-05-10,Punjab,1834,166,31
2020-05-10,Rajasthan,3788,2180,108
2020-05-10,Tamil Nadu,7206,1959,47
2020-05-10,Telangana,1207,760,30
2020-05-10,Tripura,154,2,0
2020-05-10,Uttar Pradesh,3486,1653,79
2020-05-10,Uttarakhand,69,46,1
2020-05-10,West Bengal,1974,420,185
2020-05-11,Andaman and Nicobar Islands,33,33,0
2020-05-11,Andhra Pradesh,2035,998,45
2020-05-11,Arunachal Pradesh,1,1,0
2020-05-11,Assam,65,48,2
2020-05-11,Bihar,779,377,6
2020-05-11,Chandigarh,181,28,3
2020-05-11,Chhattisgarh,66,53,0
2020-05-11,Dadra and Nagar Haveli and Daman and Diu,2,0,0
2020-05-11,Delhi,7526,2137,73
2020-05-11,Goa,7,7,0
2020-05-11,Gujarat,8548,2780,513
2020-05-11,Haryana,736,330,11
2020-05-11,Himachal Pradesh,63,35,3
2020-05-11,Jammu and Kashmir,880,427,10
2020-05-11,Jharkhand,165,78,3
2020-05-11,Karnataka,871,426,31
2020-05-11,Kerala,520,489,4
2020-05-11,Ladakh,42,22,0
2020-05-11,Madhya Pradesh,3806,1747,222
2020-05-11,Maharashtra,23403,4786,869
2020-05-11,Manipur,2,2,0
2020-05-11,Meghalaya,13,10,1
2020-05-11,Mizoram,1,1,0
2020-05-11,Odisha,447,85,3
2020-05-11,Puducherry,13,9,0
2020-05-11,Punjab,1888,168,31
2020-05-11,Rajasthan,3962,2263,113
2020-05-11,Tamil Nadu,8004,2051,53
2020-05-11,Telangana,1286,810,30
2020-05-11,Tripura,154,2,0
2020-05-11,Uttar Pradesh,3595,1758,80
2020-05-11,Uttarakhand,69,46,1
2020-05-11,West Bengal,2098,502,190
2020-05-12,Andaman and Nicobar Islands,33,33,0
2020-05-12,Andhra Pradesh,2106,1056,46
2020-05-12,Arunachal Pradesh,1,1,0
2020-05-12,Assam,65,48,2
2020-05-12,Bihar,910,382,6
2020-05-12,Chandigarh,187,30,3
2020-05-12,Chhattisgarh,66,54,0
2020-05-12,Dadra and Nagar Haveli and Daman and Diu,2,1,0
2020-05-12,Delhi,7932,2520,86
2020-05-12,Goa,7,7,0
2020-05-12,Gujarat,8910,3246,537
2020-05-12,Haryana,786,335,11
2020-05-12,Himachal Pradesh,71,35,3
2020-05-12,Jammu and Kashmir,935,455,10
2020-05-12,Jharkhand,177,79,3
2020-05-12,Karnataka,946,433,31
2020-05-12,Kerala,525,489,4
2020-05-12,Ladakh,42,22,0
2020-05-12,Madhya Pradesh,4008,1860,226
2020-05-12,Maharashtra,24429,5125,922
2020-05-12,Manipur,2,2,0
2020-05-12,Meghalaya,13,10,1
2020-05-12,Mizoram,1,1,0
2020-05-12,Odisha,469,116,3
2020-05-12,Puducherry,13,9,0
2020-05-12,Punjab,1925,171,32
2020-05-12,Rajasthan,4100,2393,117
2020-05-12,Tamil Nadu,8724,2134,61
2020-05-12,Telangana,1337,831,32
2020-05-12,Tripura,156,2,0
2020-05-12,Uttar Pradesh,3686,1873,82
2020-05-12,Uttarakhand,70,46,1
2020-05-12,West Bengal,2208,615,198
2020-05-13,Andaman and Nicobar Islands,33,33,0
2020-05-13,Andhra Pradesh,2154,1142,47
2020-05-13,Arunachal Pradesh,1,1,0
2020-05-13,Assam,80,48,2
2020-05-13,Bihar,984,400,7
2020-05-13,Chandigarh,191,30,3
2020-05-13,Chhattisgarh,66,55,0
2020-05-13,Dadra and Nagar Haveli and Daman and Diu,2,1,0
2020-05-13,Delhi,8291,2866,106
2020-05-13,Goa,7,7,0
2020-05-13,Gujarat,9275,3562,566
2020-05-13,Haryana,799,411,11
2020-05-13,Himachal Pradesh,72,35,3
2020-05-13,Jammu and Kashmir,972,466,11
2020-05-13,Jharkhand,183,87,3
2020-05-13,Karnataka,980,451,33
2020-05-13,Kerala,535,490,4
2020-05-13,Ladakh,43,22,0
2020-05-13,Madhya Pradesh,4195,2004,233
2020-05-13,Maharashtra,25924,5547,976
2020-05-13,Manipur,2,2,0
2020-05-13,Meghalaya,13,11,1
2020-05-13,Mizoram,1,1,0
2020-05-13,Odisha,570,143,3
2020-05-13,Puducherry,14,9,0
2020-05-13,Punjab,1935,200,32
2020-05-13,Rajasthan,4302,2512,121
2020-05-13,Tamil Nadu,9233,2175,64
2020-05-13,Telangana,1378,948,34
2020-05-13,Tripura,157,2,0
2020-05-13,Uttar Pradesh,3781,1965,86
2020-05-13,Uttarakhand,73,46,1
2020-05-13,West Bengal,2325,705,207
2020-05-14,Andaman and Nicobar Islands,33,33,0
2020-05-14,Andhra Pradesh,2222,1192,48
2020-05-14,Arunachal Pradesh,1,1,0
2020-05-14,Assam,87,48,2
2020-05-14,Bihar,1030,412,7
2020-05-14,Chandigarh,191,37,3
2020-05-14,Chhattisgarh,68,56,0
2020-05-14,Dadra and Nagar Haveli and Daman and Diu,2,1,0
2020-05-14,Delhi,8763,3053,115
2020-05-14,Goa,15,7,0
2020-05-14,Gujarat,9599,3753,586
2020-05-14,Haryana,824,432,11
2020-05-14,Himachal Pradesh,78,35,3
2020-05-14,Jammu and Kashmir,984,485,11
2020-05-14,Jharkhand,209,87,3
2020-05-14,Karnataka,1008,460,35
2020-05-14,Kerala,561,493,4
2020-05-14,Ladakh,43,22,0
2020-05-14,Madhya Pradesh,4448,2171,238
2020-05-14,Maharashtra,27526,6089,1020
2020-05-14,Manipur,3,2,0
2020-05-14,Meghalaya,13,11,1
2020-05-14,Mizoram,1,1,0
2020-05-14,Odisha,704,158,3
2020-05-14,Puducherry,17,9,0
2020-05-14,Punjab,1946,223,32
2020-05-14,Rajasthan,4508,2577,125
2020-05-14,Tamil Nadu,9680,2240,66
2020-05-14,Telangana,1425,961,34
2020-05-14,Tripura,158,29,0
2020-05-14,Uttar Pradesh,3925,2072,88
2020-05-14,Uttarakhand,79,50,1
2020-05-14,West Bengal,2412,771,215
2020-05-15,Andaman and Nicobar Islands,33,33,0
2020-05-15,Andhra Pradesh,2324,1252,48
2020-05-15,Arunachal Pradesh,1,1,0
2020-05-15,Assam,90,49,2
2020-05-15,Bihar,1064,440,7
2020-05-15,Chandigarh,191,40,3
2020-05-15,Chhattisgarh,80,56,0
2020-05-15,Dadra and Nagar Haveli and Daman and Diu,2,1,0
2020-05-15,Delhi,9188,3526,123
2020-05-15,Goa,15,7,0
2020-05-15,Gujarat,9939,4035,606
2020-05-15,Haryana,860,457,13
2020-05-15,Himachal Pradesh,80,35,3
2020-05-15,Jammu and Kashmir,1014,513,11
2020-05-15,Jharkhand,217,97,3
2020-05-15,Karnataka,1077,480,36
2020-05-15,Kerala,577,493,4
2020-05-15,Ladakh,43,24,0
2020-05-15,Madhya Pradesh,4621,2283,240
2020-05-15,Maharashtra,29102,6564,1069
2020-05-15,Manipur,3,2,0
2020-05-15,Meghalaya,13,11,1
2020-05-15,Mizoram,1,1,0
2020-05-15,Odisha,769,166,3
2020-05-15,Puducherry,17,9,0
2020-05-15,Punjab,1943,305,32
2020-05-15,Rajasthan,4721,2668,125
2020-05-15,Tamil Nadu,10114,2599,71
2020-05-15,Telangana,1465,968,34
2020-05-15,Tripura,158,42,0
2020-05-15,Uttar Pradesh,4080,2165,95
2020-05-15,Uttarakhand,83,51,1
2020-05-15,West Bengal,2496,832,225
2020-05-16,Andaman and Nicobar Islands,33,33,0
2020-05-16,Andhra Pradesh,2372,1353,49
2020-05-16,Arunachal Pradesh,1,1,0
2020-05-16,Assam,93,49,2
2020-05-16,Bihar,1209,473,8
2020-05-16,Chandigarh,191,51,3
2020-05-16,Chhattisgarh,81,58,0
2020-05-16,Dadra and Nagar Haveli and Daman and Diu,2,1,0
2020-05-16,Delhi,9626,3934,129
2020-05-16,Goa,20,7,0
2020-05-16,Gujarat,10996,4308,625
2020-05-16,Haryana,893,507,13
2020-05-16,Himachal Pradesh,82,39,3
2020-05-16,Jammu and Kashmir,1122,542,12
2020-05-16,Jharkhand,223,113,3
2020-05-16,Karnataka,1113,496,36
2020-05-16,Kerala,588,497,4
2020-05-16,Ladakh,43,24,0
2020-05-16,Madhya Pradesh,4817,2315,244
2020-05-16,Maharashtra,30708,7088,1136
2020-05-16,Manipur,7,2,0
2020-05-16,Meghalaya,13,11,1
2020-05-16,Mizoram,1,1,0
2020-05-16,Odisha,769,196,3
2020-05-16,Puducherry,18,9,0
2020-05-16,Punjab,1957,1257,32
2020-05-16,Rajasthan,4934,2883,126
2020-05-16,Tamil Nadu,10592,3538,76
2020-05-16,Telangana,1520,980,34
2020-05-16,Tripura,170,64,0
2020-05-16,Uttar Pradesh,4281,2441,104
2020-05-16,Uttarakhand,92,51,1
2020-05-16,West Bengal,2611,895,232
2020-05-17,Andaman and Nicobar Islands,33,33,0
2020-05-17,Andhra Pradesh,2397,1456,50
2020-05-17,Arunachal Pradesh,1,1,0
2020-05-17,Assam,101,50,2
2020-05-17,Bihar,1351,473,8
2020-05-17,Chandigarh,191,51,3
2020-05-17,Chhattisgarh,106,59,0
2020-05-17,Dadra and Nagar Haveli and Daman and Diu,2,1,0
2020-05-17,Delhi,10048,4210,148
2020-05-17,Goa,29,7,0
